,Case,Total_Value_Optimal,Total_Weight_Optimal,Runtime_Optimal,Total_Value_gORt,Total_Weight_gORt,Runtime_gORt
0,00Uncorrelated_n00050_R01000_s005.kp,19780,11921,0.290603876,19780,11921,0
1,00Uncorrelated_n00100_R01000_s005.kp,42224,28455,1.47677803,42224,28455,0.000997543
2,00Uncorrelated_n00200_R01000_s005.kp,86024,47601,5.330918312,86024,47601,0.000999928
3,00Uncorrelated_n00500_R01000_s005.kp,202400,120137,33.89817786,202400,120129,0.002002954
4,00Uncorrelated_n01000_R01000_s005.kp,403106,243748,137.4539495,403106,243745,0.006999731
5,01WeaklyCorrelated_n00050_R01000_s005.kp,14125,12715,0.310998678,14125,12715,0.001000404
6,01WeaklyCorrelated_n00100_R01000_s005.kp,27933,24642,1.298731565,27933,24637,0.000999689
7,01WeaklyCorrelated_n00200_R01000_s005.kp,57753,53102,5.656203508,57753,53102,0.001000404
8,01WeaklyCorrelated_n00500_R01000_s005.kp,135595,123199,34.00370932,135595,123199,0.002999306
9,01WeaklyCorrelated_n01000_R01000_s005.kp,268214,243336,138.2448173,268214,243336,0.005000114
10,02StronglyCorrelated_n00050_R01000_s005.kp,16219,12719,0.315999508,16219,12719,0.057000637
11,02StronglyCorrelated_n00100_R01000_s005.kp,31842,24642,1.308218241,31842,24642,0.000999689
12,02StronglyCorrelated_n00200_R01000_s005.kp,66904,53104,5.704015732,66904,53104,0.079999208
13,02StronglyCorrelated_n00500_R01000_s005.kp,158399,123199,33.99786091,158161,122961,124.893677
14,02StronglyCorrelated_n01000_R01000_s005.kp,314136,243336,140.4536872,313948,243148,124.3336353
15,03InverseStronglyCorrelated_n00050_R01000_s005.kp,13594,15194,0.369002581,13594,15194,0.195999861
16,03InverseStronglyCorrelated_n00100_R01000_s005.kp,26592,29592,1.544261932,26592,29592,0.003000259
17,03InverseStronglyCorrelated_n00200_R01000_s005.kp,56477,62977,6.746890545,56477,62977,30.86735225
18,03InverseStronglyCorrelated_n00500_R01000_s005.kp,132251,147951,41.51561785,132251,147951,55.92194915
19,03InverseStronglyCorrelated_n01000_R01000_s005.kp,261648,292748,171.2726612,261648,292748,124.6291571
20,04AlmostStronglyCorrelated_n00050_R01000_s005.kp,16204,12719,0.313998938,16204,12719,0.027999878
21,04AlmostStronglyCorrelated_n00100_R01000_s005.kp,31891,24641,1.306042671,31891,24641,0.001000166
22,04AlmostStronglyCorrelated_n00200_R01000_s005.kp,66890,53104,5.691141367,66890,53104,0.004002333
23,04AlmostStronglyCorrelated_n00500_R01000_s005.kp,158403,123199,33.9225564,158273,123083,125.7115219
24,04AlmostStronglyCorrelated_n01000_R01000_s005.kp,314165,243336,139.6344206,314115,243294,125.8311307
25,05SubsetSum_n00050_R01000_s005.kp,12719,12719,0.3089993,12719,12719,0.001001835
26,05SubsetSum_n00100_R01000_s005.kp,24642,24642,1.279164314,24642,24642,0.001000881
27,05SubsetSum_n00200_R01000_s005.kp,53104,53104,5.581935167,53104,53104,0
